Audio,English,Persian G Translate,Persian Bamooz,English Alternatives,German,German Alternatives,Level,Part of Speech,Picture,Plural and inflected forms,Sample sentence,Thing
{{728 0 0.mp3}},okay,باشه,باشه، بسیار خب,,okay,,49,adj,{{728 7 0.jpg}},,Ich finde deine Einstellung völlig okay.,24261114
{{729 0 0.mp3}},multiple,چندین,چندین بار,,mehrfach,,112,adj,{{729 7 0.jpg}},,Mehrfach ungesättigte Fettsäuren sind wichtig für die Gesundheit.,24568967
{{730 0 0.mp3}},night,شب,شب، آخر شب,the night,die Nacht,Nacht,17,noun,{{730 7 0.jpg}},die Nächte,Sie haben die ganze Nacht getanzt.,23722299
{{731 0 0.mp3}},"key, button",کلید، دکمه,دکمه (فشاری)، کلید,,die Taste,,90,noun,{{731 7 0.jpg}},die Tasten,Ich habe aus Versehen die falsche Taste gedrückt.,24541776
{{732 0 0.mp3}},potential,پتانسیل,,,"das Potenzial, das Potential",,121,noun,{{732 7 0.jpg}},"die Potenziale, die Potentiale",Verona hat ein großes Potenzial.,24588525
{{733 0 0.mp3}},parents,والدین,والدین، پدر و مادر,the parents,die Eltern,Eltern,18,noun,{{733 7 0.jpg}},no singular,In den Ferien fahren wir mit den Eltern an die Ostsee.,23722733
{{734 0 0.mp3}},"to acquire, purchase",برای به دست آوردن، خرید,کسب کردن، بدست آوردن,acquire,erwerben,,67,verb,{{734 7 0.jpg}},erwirbt; erwarb; hat erworben,In ihren späten Jahren erwarb sie ein Stück Land und baute sich darauf ein Haus.,24473611
{{735 0 0.mp3}},silence,سکوت,ساکت بودن، بی‌صدا بودن,,das Schweigen,,41,noun,{{735 7 0.jpg}},no plural,Das Schweigen im Raum wurde unerträglich.,24222633
{{736 0 0.mp3}},"on the basis of, because of",بر اساس، به دلیل,به دلیل، بخاطر,,aufgrund,,26,prep,{{736 7 0.jpg}},,Aufgrund einer Störung fiel der Strom für drei Stunden aus.,23914441
{{737 0 0.mp3}},"to increase, raise",به افزایش، افزایش,افزایش دادن / افزایش یافتن، بهبود یافتن، (sich steigern),,steigern,,90,verb,{{737 7 0.jpg}},steigert; steigerte; hat gesteigert,Wir müssen den Umsatz steigern.,24541671
{{738 0 0.mp3}},as soon as,به محض,همینکه، به محض اینکه,,sobald,,71,conj,{{738 7 0.jpg}},,"Sobald ich Bescheid weiß, rufe ich dich an.",24476414
{{739 0 0.mp3}},"to win, gain",برای برنده شدن، افزایش,پیروز شدن، برنده شدن، بردن,win,gewinnen,,21,verb,{{739 7 0.jpg}},gewinnt; gewann; hat gewonnen,Sie möchte eine Medaille gewinnen.,23863964
{{740 0 0.mp3}},chance,شانس. فرصت,شانس، فرصت، بخت,,die Chance,,28,noun,{{740 7 0.jpg}},die Chancen,Ihm wurde keine zweite Chance gegeben.,24017973
{{741 0 0.mp3}},"mass, crowd",جرم، جمعیت,مقدار زیاد، انبوه,the crowd,die Masse,Masse,63,noun,{{741 7 0.jpg}},die Massen,Das Gesetz von der Erhaltung der Masse wird im Physikunterricht gelehrt.,24383160
{{742 0 0.mp3}},spare time,وقت فراغت,وقت آزاد، اوقات فراغت,the spare time,die Freizeit,Freizeit,53,noun,{{742 7 0.jpg}},die Freizeiten,Womit verbringst du deine Freizeit?,24265096
{{743 0 0.mp3}},cloud,ابر,ابر,the cloud,die Wolke,Wolke,105,noun,{{743 7 0.jpg}},die Wolken,Heute sind viele Wolken am Himmel.,24553247
{{744 0 0.mp3}},to do without,به بدون,چشم‌پوشی‌کردن، صرف نظر کردن,,verzichten,,46,verb,{{744 7 0.jpg}},verzichtet; verzichtete; hat verzichtet,Herr Funke verzichtet auf alle Vorteile als Geschäftsführer.,24236341
{{745 0 0.mp3}},to unite,برای متحد,یکپارچه کردن، متحد کردن,,vereinigen,,92,verb,{{745 7 0.jpg}},vereinigt; vereinigte; hat vereinigt,Deutschland ist seit 1990 wieder vereinigt.,24542679
{{746 0 0.mp3}},sexual,جنسی,سکسی، از نظر) تمایلات جنسی),,sexuell,,132,adj,{{746 7 0.jpg}},,In welchem Alter machen Jugendliche ihre ersten sexuellen Erfahrungen?,24609002
{{747 0 0.mp3}},"to switch, shift",به سوئیچ، تغییر,تغییر (وضعیت) دادن، خاموش یا روشن کردن / منتشر کردن، چاپ کردن,switch,schalten,,100,verb,{{747 7 0.jpg}},schaltet; schaltete; hat geschaltet,Auf der Autobahn schalte ich in den fünften Gang.,24548136
{{748 0 0.mp3}},state security service,سرویس امنیتی دولت,اشتازی، وزارت امنیت آلمان شرقی,,die Stasi,,106,noun,{{748 7 0.jpg}},no plural,Die Stasi war die Überwachungsinstanz der DDR.,24553788
{{749 0 0.mp3}},fact,حقیقت,واقعیت، حقیقت,the fact,die Tatsache,Tatsache,49,noun,{{749 7 0.jpg}},die Tatsachen,Ich habe mich mit dieser Tatsache abgefunden.,24261581
{{750 0 0.mp3}},spectrum,طیف,طیف,,das Spektrum,,154,noun,{{750 7 0.jpg}},die Spektren,Wir haben ein breites Spektrum an Möglichkeiten.,24620651
{{751 0 0.mp3}},cat,گربه,گربه,the cat,die Katze,Katze,67,noun,{{751 7 0.jpg}},die Katzen,Hunde und Katzen vertragen sich normalerweise nicht.,24473682
{{752 0 0.mp3}},morning,صبح,پیش از ظهر، صبح,,der Vormittag,,155,noun,{{752 7 0.jpg}},die Vormittage,Am Vormittag sind die Geschäfte noch nicht so voll.,24620928
{{753 0 0.mp3}},mostly,اغلب,اکثرا، معمولا، بیشتر موارد,,meistens,,39,adv,{{753 7 0.jpg}},,Meistens fahre ich mit dem Rad zur Uni.,24221363
{{754 0 0.mp3}},to taste,چشیدن,چشیدن، امتحان کردن / مزه داشتن، مزه دادن، خوشمزه بودن,taste,schmecken,,102,verb,{{754 7 0.jpg}},schmeckt; schmeckte; hat geschmeckt,Die Kartoffelsuppe schmeckt gut.,24552153
{{755 0 0.mp3}},to fascinate,به افسون,شیفته کردن، مجذوب کردن,,faszinieren,,104,verb,{{755 7 0.jpg}},fasziniert; faszinierte; hat fasziniert,Südamerika fasziniert viele junge Leute.,24552947
{{756 0 0.mp3}},"1) naturally, of course; 2) natural",1) به طور طبیعی، البته؛ 2) طبیعی,طبیعتا، البته (که) / طبیعی / ذاتی، طبیعی,,natürlich,,7,1) adv; 2) adj,{{756 7 0.jpg}},,1 ) Natürlich interessiert mich deine Meinung. 2) Obst enthält natürliche Vitamine.,23505298
{{757 0 0.mp3}},"calculator, computer",ماشین حساب، کامپیوتر,ماشین‌حساب / کامپیوتر، رایانه,,der Rechner,,93,noun,{{757 7 0.jpg}},die Rechner,Wer hat Zugang zu diesem Rechner?,24544344
{{758 0 0.mp3}},clear,واضح,شفاف، واضح، مشخص / واضح [است]، معلوم است,,klar,,13,adj,{{758 7 0.jpg}},,Björn hat klare Vorstellungen von seinem Traumberuf.,23643129
{{759 0 0.mp3}},constant,مقدار ثابت,پیوسته، مداوم,,stetig,,132,adj,{{759 7 0.jpg}},,Der Wind wehte stetig aus Süden.,24609023
{{760 0 0.mp3}},federal chancellor,صدراعظم فدرال,صدراعظم,the Federal Chancellor,der Bundeskanzler,Bundeskanzler,85,noun,{{760 7 0.jpg}},die Bundeskanzler,Der Bundeskanzler hält jedes Jahr eine Neujahrsansprache.,24519329
{{761 0 0.mp3}},"contemplation, examination",تفکر، بررسی,مشاهده، نظاره,,die Betrachtung,,88,noun,{{761 7 0.jpg}},die Betrachtungen,Bei der Betrachtung des Mondes fallen einem immer wieder neue Krater und Täler auf.,24519856
{{762 0 0.mp3}},to think,به فکر می کنم,فکر کردن / تصور کردن، فکر کردن، (sich denken),,denken,,7,,{{762 7 0.jpg}},"denkt, dachte, hat gedacht",Wir denken an dich.,23504984
{{763 0 0.mp3}},invitation,دعوت,دعوت، دعوتنامه,,die Einladung,,139,noun,{{763 7 0.jpg}},die Einladungen,Ich habe eine Einladung zur Hochzeit bekommen.,24613220
{{764 0 0.mp3}},"pressure, printing",فشار، چاپ,فشار / چاپ، نشر,the pressure,der Druck,Druck,45,noun,{{764 7 0.jpg}},die Drücke,Die Wirtschaft übt großen Druck auf die Regierung aus.,24235934
{{765 0 0.mp3}},enormous,عظیم,زیاد، هنگفت، فراوان,,enorm,,88,adj,{{765 7 0.jpg}},,Nur mit enormen Anstrengungen konnte die Kirche wiederaufgebaut werden.,24519935
{{766 0 0.mp3}},"choice, selection",انتخاب، انتخاب,گلچین، گزینش / بازه انتخاب، طیف انتخاب,the choice,die Auswahl,Auswahl,84,noun,{{766 7 0.jpg}},die Auswahlen,Im Weingeschäft neben der Post gibt es eine große Auswahl an leckeren deutschen Weinen.,24519095
{{767 0 0.mp3}},"to manage, create",برای مدیریت، ایجاد,انجام دادن / ایجاد کردن، خلق کردن / به ثمر رساندن، از پس (چیزی) بر آمدن / بردن، جابه‌جا کردن / کار کردن,accomplish,schaffen,,16,verb,{{767 7 0.jpg}},schafft; schaffte; hat geschafft,Ich schaffe meine Arbeit nicht.,23722073
{{768 0 0.mp3}},"improbable, unlikely",غیر محتمل است، بعید است,بعید، باورنکردنی، عجیب,,unwahrscheinlich,,154,adj,{{768 7 0.jpg}},,"Es ist unwahrscheinlich, dass es in Deutschland im August schneit.",24620824
{{769 0 0.mp3}},to invite,به دعوت,دعوت کردن,load,einladen,,54,verb,{{769 7 0.jpg}},lädt ein; lud ein; hat eingeladen,Tante Lotte lädt jeden Samstag ihre Freundinnen zum Kaffee ein.,24269703
{{770 0 0.mp3}},science,علوم پایه,علم، دانش,,die Wissenschaft,,45,noun,{{770 7 0.jpg}},die Wissenschaften,Biologie ist die Wissenschaft vom Leben.,24235670
{{771 0 0.mp3}},open,باز کن,باز، فعال / آزاد,,offen,,19,adj,{{771 7 0.jpg}},,Die Flasche ist schon offen.,23863261
{{772 0 0.mp3}},purchase,خرید,خرید,the purchase,der Kauf,Kauf,80,noun,{{772 7 0.jpg}},die Käufe,Das Öffnen der Packung verpflichtet nicht zum Kauf der Ware.,24517977
{{773 0 0.mp3}},conservative,محافظه کار,محافظه‌کارا، سنت گرا,,konservativ,,91,adj,{{773 7 0.jpg}},,Ihre Verwandten sind sehr konservativ.,24542384
{{774 0 0.mp3}},letter,حرف,نامه,the letter,der Brief,Brief,39,noun,{{774 7 0.jpg}},die Briefe,Ein Brief kostet 55 Cent Porto.,24220988
{{775 0 0.mp3}},"to creep, prowl, sneak",به خزش، پرسه زدن، دزدکی حرکت کردن,بی سرو صدا رفتن، دزدکی رفتن,,schleichen,,168,verb,{{775 7 0.jpg}},schleicht; schlich; ist geschlichen,Leise schleichen die Kinder aus dem Bett und zum Kühlschrank.,24624443
{{776 0 0.mp3}},report,گزارش,گزارش,,die Meldung,,128,noun,{{776 7 0.jpg}},die Meldungen,Es gab widersprüchliche Meldungen aus dem Krisengebiet.,24605754
{{777 0 0.mp3}},as a result of,به عنوان یک نتیجه,بر اثر، به دلیل، در پی,,infolge,,131,prep,{{777 7 0.jpg}},,Heute entstehen Wüsten infolge von Bodenerosion.,24607920
{{778 0 0.mp3}},"flat, low, shallow",تخت، کم، کم عمق,هموار، صاف، مسطح / کم عمق / [کفش] بدون پاشنه,,flach,,88,adj,{{778 7 0.jpg}},,"Die Erde ist keine flache Scheibe, sondern eine Kugel.",24520001
{{779 0 0.mp3}},socialist,سوسیالیست,سوسیالیستی، جامعه گرا,,sozialistisch,,137,adj,{{779 7 0.jpg}},,Dieses Land war lange Zeit sozialistisch.,24610477
{{780 0 0.mp3}},"1) quiete, pretty; 2) rather",1) quiete، بسیار. 2) به جای,حق / قانون / راست، سمت راست / درست، حق، مناسب / واقعاً، به درستی، به تمام معنا,,recht,,11,1) adj; 2) part,{{780 7 0.jpg}},,1) Das ist mir ganz recht so.  2) Ihre Wohnung ist recht klein.,23636233
{{781 0 0.mp3}},rather,نسبتا,بلکه، بلکه بیشتر,,vielmehr,,48,adv,{{781 7 0.jpg}},,"Hier liegt kein finanzielles, sondern vielmehr ein organisatorisches Problem vor.",24260811
{{782 0 0.mp3}},antibiotic,آنتی بیوتیک,آنتی‌بیوتیک، پادزیست,,das Antibiotikum,,149,noun,{{782 7 0.jpg}},die Antibiotika,Sie muss Antibiotika gegen ihre Bronchitis nehmen.,24619634
{{783 0 0.mp3}},pedagogical,آموزشی,پرورشی، تربیتی,,pädagogisch,,119,adj,{{783 7 0.jpg}},,Lehrer haben eine pädagogische Ausbildung.,24587616
{{784 0 0.mp3}},punctual,وقت شناس,سر وقت، سر زمان، در زمان,,rechtzeitig,,104,adj,{{784 7 0.jpg}},,Ich bin rechtzeitig angekommen.,24553142
{{785 0 0.mp3}},back,بازگشت,برگشت، بازگشت / عقب، پس,,zurück,,75,adv,{{785 7 0.jpg}},,Das liegt schon zwanzig Jahre zurück,24505837
{{786 0 0.mp3}},intelligent,باهوش,باهوش، هوشمند,,intelligent,,146,adj,{{786 7 0.jpg}},,Tina ist eine sehr intelligente Frau.,24617112
{{787 0 0.mp3}},technological,تکنولوژیکی,فناورانه، تکنولوژیکی,,technologisch,,168,adj,{{787 7 0.jpg}},,Der technologische Fortschritt hat die Kommunikation beschleunigt.,24624546
{{788 0 0.mp3}},"daily, usual, ordinary",روزانه، معمول، معمولی,روزمره، معمولی,,alltäglich,,138,adj,{{788 7 0.jpg}},,"Im alltäglichen Leben passieren oft Dinge, die man nicht erwartet.",24612310
{{789 0 0.mp3}},request,درخواست,لطفا / ببخشید / خواهش می‌کنم (در جواب تشکر) / باشه / درخواست، خواهش,the request,die Bitte,Bitte,55,noun,{{789 7 0.jpg}},die Bitten,Ich habe eine Bitte an dich.,24278298
{{790 0 0.mp3}},"diagonal, at an angle",مورب، در یک زاویه,کج، مایل، شیب‌دار,,schräg,,164,adj,{{790 7 0.jpg}},,Die Brücke geht schräg über den Fluss.,24623437
{{791 0 0.mp3}},present,حاضر,کنونی، فعلی، حاضر,,gegenwärtig,,66,adj,{{791 7 0.jpg}},,Die gegenwärtige Situation ist nicht zufriedenstellend.,24472305
{{792 0 0.mp3}},to require,نیاز به,نیاز داشتن، لازم داشتن,require,benötigen,,45,verb,{{792 7 0.jpg}},benötigt; benötigte; hat benötigt,Der Kranke benötigt dringend Ruhe.,24235922
{{793 0 0.mp3}},existence,وجود داشتن,وجود، هستی,,die Existenz,,97,noun,{{793 7 0.jpg}},die Existenzen,Die Existenz vieler Tierarten ist gefährdet.,24546637
{{794 0 0.mp3}},deputy,قائم مقام,نماینده، جانشین,,der Stellvertreter,,159,noun,{{794 7 0.jpg}},die Stellvertreter,Für den Präsidenten werden vier Stellvertreter gewählt.,24622393
{{795 0 0.mp3}},to sigh,حسرت خوردن,آه کشیدن,sigh,seufzen,,153,verb,{{795 7 0.jpg}},seufzt; seufzte; hat geseufzt,Er seufzte tief und fasste sich an die Stirn.,24620633
{{796 0 0.mp3}},media,رسانه ها,رسانه‌ها,,die Medien,,39,noun,{{796 7 0.jpg}},no singular,In den Medien wird über den neuen Bestseller berichtet.,24221064
{{797 0 0.mp3}},"or, respectively",و یا، به ترتیب,,,beziehungsweise (bzw.),,14,conj,{{797 7 0.jpg}},,Zeitungen beziehungsweise Zeitschriften gehören zu den meistgelesenen Printmedien.,23643306
{{798 0 0.mp3}},"to go ahead, make progress",به جلو بروید، پیشرفت,پیش رفتن، ادامه دادن / پیش رفتن، ادامه دادن,,vorangehen,,142,verb,{{798 7 0.jpg}},geht voran; ging voran; ist vorangegangen,Die Arbeit geht gut voran.,24614476
{{799 0 0.mp3}},outside,خارج از,بیرون، بیرون (از خانه یا اتاق)، محیط باز,,draußen,,48,adv,{{799 7 0.jpg}},,Ich habe draußen im Garten zu tun.,24260673
{{800 0 0.mp3}},linear,خطی,,,linear,,136,adj,{{800 7 0.jpg}},,Was sind lineare Funktionen?,24610055
{{801 0 0.mp3}},"contemplation, examination",تفکر، بررسی,مشاهده، نظاره,,die Betrachtung,,88,noun,{{801 7 0.jpg}},die Betrachtungen,Bei der Betrachtung des Mondes fallen einem immer wieder neue Krater und Täler auf.,24519856
{{802 0 0.mp3}},bread,نان,نان,the bread,das Brot,Brot,77,noun,{{802 7 0.jpg}},die Brote,Brot ist ein Grundnahrungsmittel.,24507045
{{803 0 0.mp3}},category,دسته بندی,نوع، مقوله، طبقه,,die Kategorie,,87,noun,{{803 7 0.jpg}},die Kategorien,A und B gehören zwei verschiedenen Kategorien an.,24519546
{{804 0 0.mp3}},to establish,بنیانگذاری,تاسیس کردن، بنا نهادن / ساکن شدن، مقیم شدن، (sich etablieren),,etablieren,,118,verb,{{804 7 0.jpg}},etabliert; etablierte; hat etabliert,Das Produkt hat sich am Markt etabliert.,24585687
{{805 0 0.mp3}},politics,سیاست,سیاست، خط مشی,the politics,die Politik,Politik,23,noun,{{805 7 0.jpg}},die Politiken,Die Politik ist kein Wundermittel.,23885316
{{806 0 0.mp3}},"sorrow, grief",غم و اندوه، غم و اندوه,درد، رنج / آسیب، صدمه,the sorrow,das Leid,Leid,76,noun,{{806 7 0.jpg}},no plural,Im Fernsehen sieht man das Leid der Menschen in der dritten Welt.,24506005
{{807 0 0.mp3}},"up, upwards",تا به سمت بالا,بالا، به سمت بالا,,hinauf,,80,adv,{{807 7 0.jpg}},,Den Berg hinaufgeht es immer langsamer als hinunter.,24517966
{{808 0 0.mp3}},"mistake, error",اشتباه، خطا,خطا، اشتباه,,der Fehler,,52,noun,{{808 7 0.jpg}},die Fehler,Begehen Sie keinen Fehler!,24265081
{{809 0 0.mp3}},"to allow, permit",اجازه می دهد، اجازه,اجازه دادن,,gestatten,,157,verb,{{809 7 0.jpg}},gestattet; gestattete; hat gestattet,Rauchen ist hier nicht gestattet.,24621953
{{810 0 0.mp3}},noise,سر و صدا,سروصدا، نویز,,der Lärm,,146,noun,{{810 7 0.jpg}},no plural,Das Müllauto macht morgens Lärm.,24617329
{{811 0 0.mp3}},scandal,رسوایی,رسوایی,,der Skandal,,129,noun,{{811 7 0.jpg}},die Skandale,Die Scheidung war ein Skandal.,24606008
{{812 0 0.mp3}},"prime minister, minister president",نخست وزیر، وزیر رئيس جمهور,نخست وزیر,,der Ministerpräsident,,90,noun,{{812 7 0.jpg}},die Ministerpräsidenten,Georg Milbradt ist der Ministerpräsident von Sachsen.,24541034
{{813 0 0.mp3}},"light, appearance, certificate",نور، ظاهر، گواهی,اسکناس,,der Schein,,128,noun,{{813 7 0.jpg}},die Scheine,Der Arzt stellt einen Schein aus.,24605956
{{814 0 0.mp3}},to pronounce,تلفظ کردن,تلفظ کردن، واگویی کردن,pronounce,aussprechen,,75,verb,{{814 7 0.jpg}},spricht aus; sprach aus; hat ausgesprochen,Du musst deine Zweifel aussprechen.,24505850
{{815 0 0.mp3}},method,روش,روش، متد,the method,die Methode,Methode,39,noun,{{815 7 0.jpg}},die Methoden,"Spazierengehen ist eine gute Methode, um sich zu entspannen.",24221599
{{816 0 0.mp3}},to note,توجه داشته باشید,یادداشت کردن، یادداشت‌برداری کردن، نت‌برداری کردن,,notieren,,124,verb,{{816 7 0.jpg}},notiert; notierte; hat notiert,"Moment, das möchte ich mir notieren.",24603331
{{817 0 0.mp3}},"note, grade",توجه داشته باشید، درجه,نت (موسیقی) / نمره، نمره کلاسی,,die Note,,121,noun,{{817 7 0.jpg}},die Noten,Leider brachte er wieder schlechte Noten mit nach Hause.,24588516
{{818 0 0.mp3}},principle,اصل,,,der Grundsatz,,91,noun,{{818 7 0.jpg}},die Grundsätze,Hier gilt der Grundsatz der Gleichbehandlung.,24542232
{{819 0 0.mp3}},to show,نمایش دادن,نشان دادن / اشاره کردن / خود را نشان دادن، خود را آفتابی کردن، دیده شدن، (sich zeigen),show,zeigen,,8,verb,{{819 7 0.jpg}},zeigt; zeigte; hat gezeigt,Der Stadtführer zeigt den Touristen die Stadt.,23628338
{{820 0 0.mp3}},"department, authorities",بخش، مقامات,سازمان، اداره دولتی,the authority,die Behörde,Behörde,61,noun,{{820 7 0.jpg}},die Behörden,Wenden Sie sich bitte an die zuständigen Behörden.,24281009
{{821 0 0.mp3}},to the city,به سوی شهر,,,in die Stadt,,10,,{{821 7 0.jpg}},,Heute Nachmittag gehen wir in die Stadt zum Einkaufen.,23634831
{{822 0 0.mp3}},to exaggerate,به مبالغه,زیاده‌روی کردن، افراط‌کردن,,übertreiben,,169,verb,{{822 7 0.jpg}},übertreibt; übertrieb; hat übertrieben,Jetzt übertreibst du aber!,26427864
{{823 0 0.mp3}},"to rustle, roar",به خش خش، سر و صدا,خروشیدن، غریدن,rustle,rauschen,,153,verb,{{823 7 0.jpg}},rauscht; rauschte; hat gerauscht,Die Bäume rauschen im Wind.,24620590
{{824 0 0.mp3}},giant,غول,غول، هیولا,,der Riese,,119,noun,{{824 7 0.jpg}},die Riesen,Das Schloss wird von einem gefährlichen Riesen bewacht.,24587658
{{825 0 0.mp3}},"to make an effort, strive",را به تلاش، تلاش,,strive,sich bemühen,,55,verb,{{825 7 0.jpg}},bemüht sich; bemühte sich; hat sich bemüht,Wir bemühen uns um ein besseres Betriebsklima.,24278225
{{826 0 0.mp3}},empty,خالی,خالی، تهی,,leer,,46,adj,{{826 7 0.jpg}},,Die Flasche Wein ist schon leer.,24259542
{{827 0 0.mp3}},"snake, line",مار، خط,صف / مار,,die Schlange,,168,noun,{{827 7 0.jpg}},die Schlangen,Vor dem Museum bildete sich eine lange Schlange.,24624433
{{828 0 0.mp3}},opportunity,فرصت,فرصت، موقعیت,the opportunity,die Gelegenheit,Gelegenheit,61,noun,{{828 7 0.jpg}},die Gelegenheiten,Plötzlich bot sich ihr eine sehr gute Gelegenheit für ihren Plan.,24281080
{{829 0 0.mp3}},"negotiation, mediation",مذاکره، میانجیگری,میانجی‌گری، وساطت، دلالت / تلفن‌خانه، مرکز تلفن,placement,die Vermittlung,,105,noun,{{829 7 0.jpg}},die Vermittlungen,Das Akademische Auslandsamt ist für die Vermittlung von Erasmusstudenten zuständig.,24553171
{{830 0 0.mp3}},"holidays, vacation",تعطیلات، تعطیلات,تعطیلات,the holidays,die Ferien,Ferien,114,noun,{{830 7 0.jpg}},no singular,In den Ferien besuchen wir die Oma.,24579819
{{831 0 0.mp3}},"appropriate, responsible",مناسب، مسئول,مسئول,,zuständig,,49,adj,{{831 7 0.jpg}},,Dafür bin ich nicht zuständig.,24261025
{{832 0 0.mp3}},to organize,برای سازماندهی,برپا کردن، برگزار کردن,,veranstalten,,133,verb,{{832 7 0.jpg}},veranstaltet; veranstaltete; hat veranstaltet,Die Universität veranstaltet einen Tag der offenen Tür.,24609101
{{833 0 0.mp3}},"early, premature",اوایل، زودرس,زودهنگام، پیش از موعد,,vorzeitig,,160,adj,{{833 7 0.jpg}},,Die Bauarbeiten wurden vorzeitig abgeschlossen.,24622570
{{834 0 0.mp3}},"simple, plain",ساده، ساده,ساده,,schlicht,,106,adj,{{834 7 0.jpg}},,Wir traten in ein schlicht eingerichtetes Zimmer.,24553658
{{835 0 0.mp3}},"sensible, meaningful",معقول، معنی دار,منطقی، معقول / مفید,,sinnvoll,,57,adj,{{835 7 0.jpg}},,Das ist keine sinnvolle Frage.,24279383
{{836 0 0.mp3}},"1) to, at; 2) too / to",1) به در؛ 2) بیش از حد / به,به (محل)، به سمت، پیش / در (زمان)، در طول / برای / در (محل) / با، از طریق / به عنوان / به، در مقابل / خیلی، بیش از حد / به سوی، به طرف، به سمت / بسته / یالا، زود باش,,zu,,1,1) prep; 2) part,{{836 7 0.jpg}},,1) Kommen Sie zu uns. 2) Das ist zu viel. / Claudia hat viel zu tun.,23494325
{{837 0 0.mp3}},in order to,به منظور. واسه اینکه. برای اینکه,,,um...zu,,3,,{{837 7 0.jpg}},,"Um die Fenster zu putzen, brauche ich eine Leiter.",23501290
{{838 0 0.mp3}},effort,تلاش,تلاش، زحمت,,die Anstrengung,,105,noun,{{838 7 0.jpg}},die Anstrengungen,Skispringen erfordert einige Anstrengung.,24553282
{{839 0 0.mp3}},example,مثال,مثال، نمونه,,das Beispiel,,5,noun,{{839 7 0.jpg}},die Beispiele,St. Martin ist ein gutes Beispiel für praktizierte Nächstenliebe.,23502236
{{840 0 0.mp3}},superfluous,زیادی,غیر ضروری، زاید، بیهوده,,überflüssig,,148,adj,{{840 7 0.jpg}},,Deine Sorge ist überflüssig.,24618878
{{841 0 0.mp3}},millimetre,میلیمتر,,the millimetre,der Millimeter,Millimeter,81,noun,{{841 7 0.jpg}},die Millimeter,Das Haar wächst jede Woche etwa drei Millimeter.,24518533
{{842 0 0.mp3}},"targeted, purposeful, well-aimed",هدفمند، هدفمند، به خوبی هدف,متمرکز,pointed,gezielt,,95,adj,{{842 7 0.jpg}},,Er wurde mit einem gezielten Schuss getötet.,24545602
{{843 0 0.mp3}},office,دفتر,دفتر اداری، اداره,the office,das Büro,Büro,66,noun,{{843 7 0.jpg}},die Büros,Im Büro herrscht gute Stimmung.,24472572
{{844 0 0.mp3}},cook,پختن,آشپز,,der Koch,,167,noun,{{844 7 0.jpg}},die Köche,Viele Köche verderben den Brei.,24624238
{{845 0 0.mp3}},"how, which",چگونه، که,چطور؟، چگونه؟، چطور شد؟,,wodurch,,160,pron,{{845 7 0.jpg}},,Wodurch kann man die Leistungsfähigkeit steigern?,24622592
{{846 0 0.mp3}},"loose, relaxed",از دست، آرام,آرام، راحت، ریلکس / شل,,locker,,112,adj,{{846 7 0.jpg}},,Die Schraube ist locker.,24568745
{{847 0 0.mp3}},structural,ساختاری,,,strukturell,,137,adj,{{847 7 0.jpg}},,Unsere Schwierigkeiten lassen sich durch strukturelle Probleme erklären.,24610530
{{848 0 0.mp3}},frequent,زود زود,مداوم، با تکرار، مکرر,,häufig,,22,adj,{{848 7 0.jpg}},,Hier werden häufige Wörter gesammelt.,23883009
{{849 0 0.mp3}},blow,فوت کردن، دمیدن,ضربه، ضربت / برق‌گرفتگی,,der Schlag,,92,noun,{{849 7 0.jpg}},die Schläge,Der Schlag kam völlig unerwartet.,24542487
{{850 0 0.mp3}},to marry,ازدواج كردن,ازدواج کردن,,heiraten,,59,verb,{{850 7 0.jpg}},heiratet; heiratete; hat geheiratet,Willst du mich heiraten?,24279822
{{851 0 0.mp3}},he,او,او، [ضمیر فاعلی سوم شخص مفرد مذکر],,er,,1,pron,{{851 7 0.jpg}},,Er isst gern Leberwurst.,23499611
{{852 0 0.mp3}},tourism,جهانگردی,گردشگری، توریسم,the tourism,der Tourismus,Tourismus,82,noun,{{852 7 0.jpg}},no plural,Der Tourismus ist in Österreich ein wichtiger Wirtschaftszweig.,24518673
{{853 0 0.mp3}},"first, at first, for now",برای اولین بار، در ابتدا، در حال حاضر,در ابتدا، اولش,,zunächst,,18,adv,{{853 7 0.jpg}},,Zunächst stellt der Referent seine Gliederung vor.,23862975
{{854 0 0.mp3}},"assumption, presumption",فرض، فرض,حدس، فرض,,die Vermutung,,148,noun,{{854 7 0.jpg}},die Vermutungen,Meine Vermutung hat sich bestätigt.,24619010
{{855 0 0.mp3}},tool,ابزار,ابزارالات، ابزار,,das Werkzeug,,143,noun,{{855 7 0.jpg}},die Werkzeuge,Werkzeuge sind in der unteren Schublade.,24614584
{{856 0 0.mp3}},category,دسته بندی,نوع، مقوله، طبقه,,die Kategorie,,87,noun,{{856 7 0.jpg}},die Kategorien,A und B gehören zwei verschiedenen Kategorien an.,24519546
{{857 0 0.mp3}},wall,دیوار,دیوار,the wall,die Mauer,Mauer,65,noun,{{857 7 0.jpg}},die Mauern,Die Berliner Mauer fiel am 9. November 1989.,24387398
{{858 0 0.mp3}},rule,قانون,معمول / قانون,,die Regel,,24,noun,{{858 7 0.jpg}},die Regeln,Ausnahmen bestätigen die Regel.,23885637
{{859 0 0.mp3}},manner,شیوه,,,Art und Weise,,13,,{{859 7 0.jpg}},,Die Galerie präsentiert bekannte Bilder auf neue Art und Weise.,23642924
